age,job,marital,education,default,housing,loan,contact,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
45,9,0,6,0,0,0,1,505,1,999,0,1,1.4,93.444,-36.1,4.9639999999999995,5228.1,1
36,11,1,3,0,1,0,0,16,1,999,0,1,1.4,93.91799999999999,-42.7,4.962,5228.1,0
40,1,0,5,0,1,0,1,300,5,999,0,1,1.4,93.91799999999999,-42.7,4.96,5228.1,0
38,11,1,4,0,0,0,1,180,2,999,1,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0
44,11,1,5,0,0,0,0,390,2,999,0,1,1.4,94.465,-41.8,4.961,5228.1,0
25,7,1,6,0,1,0,0,274,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
30,11,0,3,0,1,0,0,135,5,999,0,1,1.4,93.91799999999999,-42.7,4.961,5228.1,0
43,5,1,7,0,0,0,1,257,2,999,0,1,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0
58,3,1,3,0,0,0,0,268,3,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
31,6,1,7,0,1,0,0,157,6,999,0,1,1.1,93.994,-36.4,4.856,5191.0,0
53,5,1,6,0,0,0,1,477,2,999,0,1,1.4,93.91799999999999,-42.7,4.961,5228.1,0
52,9,1,1,0,0,0,1,91,1,999,0,1,1.4,93.444,-36.1,4.968,5228.1,0
37,5,1,6,0,0,1,1,76,1,999,1,0,-1.8,93.075,-47.1,1.405,5099.1,0
58,9,1,5,0,1,0,1,103,1,999,0,1,1.4,93.91799999999999,-42.7,4.961,5228.1,0
37,10,1,5,0,1,1,1,436,3,999,0,1,-1.8,92.89299999999999,-46.2,1.266,5099.1,0
38,9,0,1,0,1,0,1,191,1,999,0,1,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0
33,10,0,4,0,1,0,1,483,2,999,0,1,-1.8,93.075,-47.1,1.41,5099.1,0
45,10,1,5,0,1,0,1,250,1,999,0,1,-1.8,92.89299999999999,-46.2,1.25,5099.1,0
44,8,1,7,0,0,0,0,259,1,999,0,1,1.1,93.994,-36.4,4.8580000000000005,5191.0,0
38,11,1,3,0,1,0,0,389,2,999,0,1,1.4,93.91799999999999,-42.7,4.966,5228.1,0
34,11,1,4,0,0,0,0,7,1,999,0,1,-1.7,94.055,-39.8,0.7020000000000001,4991.6,0
47,5,1,6,0,1,0,1,123,1,999,0,1,-2.9,92.469,-33.6,1.0290000000000001,5076.2,0
59,9,1,6,0,1,1,1,92,1,999,0,1,-2.9,92.469,-33.6,1.085,5076.2,0
51,11,1,2,0,1,1,1,297,2,999,0,1,1.4,93.444,-36.1,4.9639999999999995,5228.1,0
31,11,1,3,0,1,0,0,406,2,999,0,1,1.4,94.465,-41.8,4.864,5228.1,0
56,5,1,6,0,1,1,1,104,1,999,1,0,-0.1,93.2,-42.0,4.12,5195.8,0
39,9,1,6,0,0,0,0,135,2,999,0,1,1.4,94.465,-41.8,4.961,5228.1,0
41,8,1,6,0,1,0,1,854,1,999,0,1,-0.1,93.2,-42.0,4.1530000000000005,5195.8,1
41,5,0,3,0,1,0,1,147,1,999,0,1,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0
53,10,1,5,0,0,0,0,203,4,999,0,1,1.1,93.994,-36.4,4.86,5191.0,0
35,11,1,5,0,0,1,1,149,4,999,0,1,1.4,93.91799999999999,-42.7,4.962,5228.1,0
58,3,1,4,0,0,1,1,144,1,999,0,1,-1.8,92.89299999999999,-46.2,1.334,5099.1,0
25,7,1,7,0,1,0,0,394,2,999,0,1,1.4,94.465,-41.8,4.959,5228.1,0
35,11,0,4,0,1,0,1,523,1,999,1,0,-1.8,92.89299999999999,-46.2,1.344,5099.1,0
28,10,0,5,0,0,0,1,73,1,999,0,1,1.4,93.91799999999999,-42.7,4.963,5228.1,0
55,11,1,7,0,1,1,1,197,3,999,1,0,-1.8,92.89299999999999,-46.2,1.25,5099.1,0
54,8,1,2,0,0,1,0,108,1,999,0,1,1.1,93.994,-36.4,4.855,5191.0,0
45,6,0,4,0,0,0,1,80,2,999,0,1,1.4,93.91799999999999,-42.7,4.962,5228.1,0
32,11,1,4,0,1,0,1,114,1,999,1,0,-1.8,93.075,-47.1,1.41,5099.1,0
50,9,1,4,0,1,0,1,122,3,999,0,1,1.4,93.444,-36.1,4.963,5228.1,0
75,3,1,2,0,0,0,1,109,1,999,1,0,-1.8,93.075,-47.1,1.405,5099.1,1
33,7,0,1,0,0,0,0,1161,4,999,0,1,1.1,93.994,-36.4,4.8580000000000005,5191.0,0
29,5,1,6,0,0,1,1,181,2,999,0,1,1.4,93.444,-36.1,4.967,5228.1,0
45,5,1,6,0,1,0,1,239,1,999,0,1,-1.8,92.89299999999999,-46.2,1.327,5099.1,0
38,9,0,6,0,0,0,1,360,1,999,0,1,-1.8,93.075,-47.1,1.392,5099.1,1
24,10,0,7,0,1,0,0,314,1,999,0,1,1.1,93.994,-36.4,4.8580000000000005,5191.0,0
41,6,1,7,0,1,0,1,984,1,999,0,1,1.4,93.444,-36.1,4.963,5228.1,0
58,3,0,5,0,1,0,1,663,1,999,0,1,-2.9,92.963,-40.8,1.262,5076.2,1
34,9,1,6,0,0,1,0,157,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
34,9,1,6,0,0,0,1,141,2,999,0,1,-1.1,94.76700000000001,-50.8,1.05,4963.6,0
37,6,0,7,0,0,0,0,374,1,999,0,1,1.1,93.994,-36.4,4.856,5191.0,0
53,11,0,2,0,0,0,0,706,1,999,0,1,1.4,94.465,-41.8,4.959,5228.1,1
54,6,0,7,0,1,1,1,797,14,999,0,1,1.4,93.91799999999999,-42.7,4.961,5228.1,0
32,6,0,7,0,1,0,1,250,1,999,0,1,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0
42,9,1,5,0,1,0,1,311,6,999,0,1,1.4,93.91799999999999,-42.7,4.962,5228.1,0
28,6,0,7,0,1,0,1,63,2,3,1,2,-2.9,92.20100000000001,-31.4,0.851,5076.2,1
33,10,0,5,0,1,0,0,111,1,999,0,1,1.1,93.994,-36.4,4.864,5191.0,0
41,11,1,4,0,1,0,1,148,2,999,0,1,-1.8,93.075,-47.1,1.405,5099.1,0
31,10,1,5,0,0,1,1,49,1,999,0,1,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0
40,6,1,4,0,0,1,0,171,4,999,0,1,1.1,93.994,-36.4,4.86,5191.0,0
53,0,1,4,0,0,1,1,242,1,999,1,0,-3.4,92.649,-30.1,0.716,5017.5,0
40,9,0,6,0,1,0,1,257,1,999,0,1,1.4,93.444,-36.1,4.965,5228.1,0
82,2,1,2,0,0,0,0,279,3,3,2,2,-1.1,94.199,-37.5,0.877,4963.6,1
28,11,1,2,0,1,0,1,113,1,999,0,1,1.4,93.91799999999999,-42.7,4.96,5228.1,0
30,9,1,5,0,1,0,1,246,3,999,0,1,-0.1,93.2,-42.0,4.12,5195.8,0
31,1,0,6,0,1,0,1,309,1,6,3,2,-1.7,94.215,-40.3,0.835,4991.6,1
32,6,0,6,0,1,0,1,168,1,999,0,1,1.4,93.444,-36.1,4.965,5228.1,0
54,11,1,2,0,1,0,1,153,1,999,0,1,1.4,93.444,-36.1,4.963,5228.1,0
31,11,1,4,0,0,0,1,152,1,999,0,1,1.4,93.91799999999999,-42.7,4.963,5228.1,0
50,10,1,1,0,1,0,1,90,2,999,0,1,1.4,93.444,-36.1,4.968,5228.1,0
47,6,0,1,0,0,0,1,117,2,999,0,1,1.4,93.91799999999999,-42.7,4.961,5228.1,0
31,9,0,5,0,1,1,1,149,1,999,0,1,-1.8,92.89299999999999,-46.2,1.281,5099.1,0
32,1,1,5,0,1,0,1,640,1,999,0,1,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0
46,9,0,5,0,1,0,1,199,2,999,2,0,-1.1,94.76700000000001,-50.8,1.048,4963.6,0
47,9,0,5,0,0,0,1,1114,2,999,0,1,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,0
32,9,0,5,0,0,0,1,74,2,999,2,0,-1.1,94.76700000000001,-50.8,1.048,4963.6,0
52,10,0,5,0,0,0,1,190,1,999,0,1,-0.1,93.2,-42.0,4.191,5195.8,0
45,9,1,5,0,1,0,1,738,3,6,1,2,-1.1,94.601,-49.5,1.0290000000000001,4963.6,1
32,9,1,6,0,1,0,1,374,2,999,0,1,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0
71,11,0,2,0,0,0,1,224,1,999,0,1,-1.7,94.027,-38.3,0.904,4991.6,0
49,10,1,5,0,1,0,0,344,2,999,0,1,1.1,93.994,-36.4,4.855,5191.0,0
46,9,1,5,0,1,1,0,148,10,999,0,1,1.4,94.465,-41.8,4.864,5228.1,0
46,11,1,7,0,0,0,1,383,1,999,0,1,-1.1,94.76700000000001,-50.8,1.028,4963.6,0
38,9,1,6,0,1,0,1,35,6,999,0,1,1.4,93.444,-36.1,4.965,5228.1,0
57,10,1,7,0,0,0,1,153,2,999,0,1,1.4,93.444,-36.1,4.965,5228.1,0
41,10,0,5,0,0,0,1,772,2,999,1,0,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,0
44,6,1,7,0,0,0,0,124,3,999,0,1,1.1,93.994,-36.4,4.864,5191.0,0
47,6,1,6,0,1,0,1,345,7,999,0,1,1.4,93.444,-36.1,4.9639999999999995,5228.1,0
40,11,1,4,0,1,1,0,951,2,999,0,1,1.1,93.994,-36.4,4.8580000000000005,5191.0,0
57,3,0,7,0,1,0,0,188,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
27,9,0,1,0,0,0,1,128,1,3,1,2,-1.8,93.369,-34.8,0.637,5008.7,1
52,11,1,4,0,0,0,1,809,1,999,0,1,1.4,93.444,-36.1,4.966,5228.1,1
34,5,1,6,0,1,1,0,192,1,999,0,1,-2.9,92.963,-40.8,1.26,5076.2,0
42,8,1,6,0,1,0,0,154,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
51,6,1,1,0,1,0,0,17,3,999,0,1,1.4,94.465,-41.8,4.959,5228.1,0
45,5,1,2,0,1,0,0,100,1,999,0,1,1.1,93.994,-36.4,4.855,5191.0,0
56,3,1,5,0,0,0,1,317,1,999,0,1,-1.8,92.89299999999999,-46.2,1.244,5099.1,0
41,5,1,6,0,1,0,1,93,1,999,0,1,-1.8,92.89299999999999,-46.2,1.327,5099.1,0
44,9,1,5,0,1,0,1,111,1,999,0,1,1.4,93.444,-36.1,4.9639999999999995,5228.1,0
50,11,1,3,0,1,0,1,293,3,3,1,2,-1.8,92.89299999999999,-46.2,1.354,5099.1,1
54,7,1,5,0,0,0,1,119,3,999,0,1,1.4,93.444,-36.1,4.963,5228.1,0
51,11,1,3,0,0,0,1,393,1,999,0,1,1.4,93.444,-36.1,4.9639999999999995,5228.1,0
30,11,0,4,0,0,0,1,30,1,999,0,1,-0.1,93.2,-42.0,4.12,5195.8,0
42,2,1,2,0,1,0,0,38,8,999,0,1,1.4,94.465,-41.8,4.959,5228.1,0
41,6,1,7,0,1,0,0,442,11,999,0,1,1.4,94.465,-41.8,4.865,5228.1,0
47,10,0,4,0,0,0,1,187,2,999,0,1,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0
35,11,1,3,0,1,0,1,113,1,999,1,0,-1.8,93.075,-47.1,1.405,5099.1,0
58,11,1,4,0,0,0,1,64,1,999,1,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0
50,11,0,5,0,1,1,1,629,2,999,0,1,1.4,93.91799999999999,-42.7,4.96,5228.1,1
41,6,1,7,0,0,0,0,92,1,999,0,1,1.1,93.994,-36.4,4.856,5191.0,0
38,6,1,6,0,1,0,1,147,1,999,0,1,-1.8,92.89299999999999,-46.2,1.334,5099.1,0
32,4,0,6,0,0,0,1,151,2,999,0,1,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0
21,4,0,5,0,0,0,1,259,1,999,1,0,-2.9,92.20100000000001,-31.4,0.884,5076.2,0
46,9,0,4,0,0,0,0,423,1,999,0,1,1.1,93.994,-36.4,4.856,5191.0,0
42,7,1,6,0,1,0,1,888,3,999,0,1,-0.1,93.2,-42.0,4.021,5195.8,0
55,10,1,4,0,0,0,1,76,13,999,0,1,1.4,93.444,-36.1,4.9639999999999995,5228.1,0
29,9,0,5,0,1,0,0,207,1,6,1,2,-1.1,94.76700000000001,-50.8,1.05,4963.6,0
30,11,0,3,0,1,0,0,100,1,999,0,1,1.4,94.465,-41.8,4.959,5228.1,0
53,5,1,2,0,1,0,1,63,1,999,0,1,-0.1,93.2,-42.0,4.12,5195.8,0
35,5,1,6,0,1,0,1,265,2,999,0,1,-0.1,93.2,-42.0,4.12,5195.8,0
46,10,1,7,0,1,0,0,273,4,999,0,1,1.1,93.994,-36.4,4.856,5191.0,0
30,11,1,1,0,0,0,0,85,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
43,8,1,6,0,1,0,1,261,1,999,0,1,1.4,93.91799999999999,-42.7,4.961,5228.1,0
42,10,1,5,0,1,0,1,136,4,999,0,1,1.4,93.91799999999999,-42.7,4.96,5228.1,0
32,6,1,7,0,0,0,1,711,1,999,0,1,1.4,93.91799999999999,-42.7,4.962,5228.1,0
41,11,0,4,0,1,0,1,88,1,999,1,0,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0
28,9,1,6,0,0,0,1,72,3,999,1,0,-1.8,92.89299999999999,-46.2,1.291,5099.1,0
24,10,0,6,0,0,0,1,113,6,999,0,1,1.4,93.91799999999999,-42.7,4.963,5228.1,0
43,5,1,6,0,1,1,1,307,1,999,0,1,-1.8,93.075,-47.1,1.405,5099.1,0
30,9,0,6,0,1,0,1,39,1,999,0,1,1.4,93.444,-36.1,4.97,5228.1,0
55,11,1,4,0,0,0,1,63,2,999,0,1,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0
51,3,1,4,0,0,0,1,64,1,999,0,1,1.4,93.91799999999999,-42.7,4.959,5228.1,0
22,4,0,5,0,0,1,1,154,2,999,0,1,1.4,93.91799999999999,-42.7,4.957,5228.1,0
32,8,0,6,0,0,1,1,126,1,999,0,1,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0
43,9,1,7,0,0,0,1,127,3,999,0,1,1.4,93.91799999999999,-42.7,4.968,5228.1,0
39,5,1,3,0,0,0,0,156,5,999,0,1,1.4,94.465,-41.8,4.865,5228.1,0
52,11,0,1,0,0,0,1,111,8,999,0,1,1.4,93.91799999999999,-42.7,4.961,5228.1,0
38,6,0,7,0,1,0,1,202,3,999,1,0,-1.8,92.89299999999999,-46.2,1.244,5099.1,0
59,3,1,2,0,0,0,0,353,4,999,0,1,-1.8,93.075,-47.1,1.453,5099.1,0
31,11,1,2,0,1,0,0,159,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
76,3,0,2,0,0,0,1,347,4,6,1,2,-3.4,92.649,-30.1,0.715,5017.5,1
44,0,0,4,0,1,0,0,76,3,999,0,1,1.4,94.465,-41.8,4.96,5228.1,0
30,11,1,1,0,0,0,0,85,2,999,0,1,1.1,93.994,-36.4,4.864,5191.0,0
32,10,1,5,0,0,0,0,174,1,999,0,1,1.4,94.465,-41.8,4.959,5228.1,0
41,1,1,1,0,0,0,0,280,3,999,0,1,1.4,94.465,-41.8,4.967,5228.1,0
33,9,0,6,0,1,0,1,686,4,999,0,1,1.4,93.444,-36.1,4.963,5228.1,1
59,3,1,2,0,1,0,1,94,1,999,0,1,1.4,93.444,-36.1,4.963,5228.1,0
28,11,1,4,0,1,0,1,225,3,999,0,1,1.4,93.91799999999999,-42.7,4.96,5228.1,0
33,11,0,3,0,1,0,1,474,2,999,0,1,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0
53,10,1,5,0,1,0,1,76,1,999,0,1,1.4,93.444,-36.1,4.9639999999999995,5228.1,0
41,10,1,5,0,0,0,1,377,6,999,0,1,-1.8,92.84299999999999,-50.0,1.778,5099.1,1
55,0,1,2,0,0,1,1,185,1,999,0,1,1.4,93.91799999999999,-42.7,4.962,5228.1,0
45,11,1,4,0,0,0,0,121,1,999,0,1,1.1,93.994,-36.4,4.856,5191.0,0
35,6,1,7,0,0,0,1,126,4,999,0,1,1.4,93.91799999999999,-42.7,4.968,5228.1,0
31,10,1,5,0,0,0,1,160,3,999,0,1,1.4,93.91799999999999,-42.7,4.96,5228.1,0
53,5,1,6,0,0,0,1,313,4,999,0,1,1.4,93.444,-36.1,4.965,5228.1,0
35,6,0,7,0,1,0,1,141,1,999,0,1,-1.8,92.89299999999999,-46.2,1.327,5099.1,0
45,11,0,3,0,1,0,1,219,1,999,0,1,-1.8,92.89299999999999,-46.2,1.327,5099.1,0
34,2,0,6,0,0,0,0,267,2,999,0,1,1.4,94.465,-41.8,4.961,5228.1,0
42,9,1,4,0,0,0,0,406,3,999,1,0,-1.8,93.075,-47.1,1.405,5099.1,0
36,7,1,4,0,1,1,1,151,3,999,0,1,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0
44,9,1,5,0,0,0,0,228,3,999,0,1,1.1,93.994,-36.4,4.856,5191.0,0
50,9,0,6,0,1,0,1,73,2,999,0,1,1.4,93.444,-36.1,4.965,5228.1,0
36,9,1,6,0,1,0,1,355,1,999,0,1,-3.4,92.37899999999999,-29.8,0.773,5017.5,0
27,6,1,7,0,0,0,1,102,9,999,0,1,1.4,93.91799999999999,-42.7,4.963,5228.1,0
40,5,1,1,0,0,0,0,97,3,999,0,1,1.1,93.994,-36.4,4.859,5191.0,0
25,6,0,6,0,1,1,0,35,6,999,0,1,1.4,94.465,-41.8,4.96,5228.1,0
29,5,1,6,0,1,1,1,116,2,999,0,1,1.4,93.444,-36.1,4.966,5228.1,0
44,9,1,5,0,0,0,0,83,3,999,0,1,1.1,93.994,-36.4,4.856,5191.0,0
57,11,1,1,0,1,0,0,473,2,999,0,1,1.1,93.994,-36.4,4.856,5191.0,0
30,9,0,5,0,1,0,1,605,1,999,0,1,1.4,93.91799999999999,-42.7,4.963,5228.1,0
37,7,1,6,0,1,1,1,585,2,999,0,1,1.4,93.444,-36.1,4.967,5228.1,0
57,6,1,4,0,0,0,1,94,1,999,0,1,1.4,93.91799999999999,-42.7,4.961,5228.1,0
32,6,1,7,0,1,0,1,255,1,999,0,1,1.4,93.91799999999999,-42.7,4.963,5228.1,1
